player,frame,x,y,z,dx,dy,player_obj,player_num,team,coords,num,name,edgecolor,bgcolor
0,0,54.37994557823129,13.717366946778725,0.0,,,,,,,,,,
0,1,54.66148625507284,13.634122693262924,0.0,0.28154067684154427,-0.08324425351580089,,,,,,,,
0,2,54.92017334187705,13.57078838977381,0.0,0.2586870868042155,-0.06333430348911406,,,,,,,,
0,3,55.15733675378794,13.526318953161791,0.0,0.23716341191088475,-0.04446943661201885,,,,,,,,
0,4,55.37430640594945,13.499669300277304,0.0,0.21696965216150943,-0.02664965288448684,,,,,,,,
0,5,55.572412213505594,13.489794347970815,0.0,0.19810580755614637,-0.009874952306489604,,,,,,,,
0,6,55.752984091600325,13.495649013092745,0.0,0.18057187809473163,0.005854665121930225,,,,,,,,
0,7,55.917351955377654,13.516188212493631,0.0,0.16436786377732915,0.020539199400886332,,,,,,,,
0,8,56.06684571998152,13.550366863023754,0.0,0.14949376460386787,0.03417865053012292,,,,,,,,
0,9,56.202795300555955,13.59713988153375,0.0,0.13594958057443307,0.04677301850999527,,,,,,,,
0,10,56.3265306122449,13.65546218487394,0.0,0.12373531168894658,0.05832230334019073,,,,,,,,
0,11,57.42120892562135,14.239820391772511,0.06507936507936507,1.0946783133764484,0.5843582068985711,,,,,,,,
0,12,58.49917459299207,14.815257099329088,0.12698412698412695,1.0779656673707194,0.5754367075565767,,,,,,,,
0,13,59.56042761435703,15.381772307543727,0.1857142857142857,1.061253021364962,0.5665152082146392,,,,,,,,
0,14,60.60496798971626,15.939366016416429,0.2412698412698412,1.044540375359226,0.5575937088727017,,,,,,,,
0,15,61.63279571906972,16.488038225947136,0.2936507936507936,1.0278277293534615,0.5486722095307073,,,,,,,,
0,16,62.64391080241744,17.02778893613589,0.3428571428571429,1.0111150833477183,0.5397507101887555,,,,,,,,
0,17,63.63831323975941,17.558618146982667,0.3888888888888888,0.9944024373419751,0.5308292108467754,,,,,,,,
0,18,64.61600303109566,18.080525858487476,0.4317460317460317,0.9776897913362461,0.5219077115048094,,,,,,,,
0,19,65.57698017642613,18.59351207065035,0.4714285714285714,0.9609771453304745,0.5129862121628719,,,,,,,,
0,20,66.52124467575086,19.09757678347124,0.5079365079365079,0.9442644993247313,0.5040647128208917,,,,,,,,
0,21,67.44879652906985,19.59271999695018,0.5412698412698412,0.9275518533189882,0.49514321347893997,,,,,,,,
0,22,68.35963573638308,20.07894171108714,0.5714285714285714,0.9108392073132308,0.4862217141369598,,,,,,,,
0,23,69.25376229769057,20.556241925882162,0.5984126984126985,0.8941265613074876,0.47730021479502227,,,,,,,,
0,24,70.13117621299232,21.024620641335204,0.6222222222222222,0.8774139153017444,0.4683787154530421,,,,,,,,
0,25,70.99187748228832,21.484077857446295,0.6428571428571428,0.8607012692960012,0.45945721611109036,,,,,,,,
0,26,71.83586610557856,21.934613574215405,0.6603174603174602,0.8439886232902438,0.4505357167691102,,,,,,,,
0,27,72.66314208286306,22.376227791642563,0.6746031746031746,0.8272759772845006,0.44161421742715845,,,,,,,,
0,28,73.47370541414182,22.808920509727756,0.6857142857142857,0.8105633312787575,0.4326927180851925,,,,,,,,
0,29,74.26755609941483,23.232691728470996,0.6936507936507936,0.7938506852730143,0.42377121874324075,,,,,,,,
0,30,75.0446941386821,23.647541447872243,0.6984126984126984,0.7771380392672711,0.4148497194012464,,,,,,,,
0,31,75.80511953194359,24.05346966793155,0.7,0.7604253932614853,0.40592822005930884,,,,,,,,
0,32,76.54883227919936,24.450476388648894,0.6984126984126984,0.7437127472557705,0.3970067207173429,,,,,,,,
0,33,77.27583238044937,24.838561610024286,0.6936507936507937,0.7270001012500131,0.38808522137539114,,,,,,,,
0,34,77.98611983569364,25.21772533205771,0.6857142857142857,0.71028745524427,0.3791637220334252,,,,,,,,
0,35,78.67969464493216,25.587967554749156,0.6746031746031745,0.6935748092385126,0.370242222691445,,,,,,,,
0,36,79.35655680816494,25.949288278098663,0.6603174603174604,0.6768621632327836,0.3613207233495075,,,,,,,,
0,37,80.01670632539197,26.301687502106176,0.6428571428571428,0.6601495172270262,0.3523992240075131,,,,,,,,
0,38,80.66014319661323,26.645165226771752,0.6222222222222222,0.6434368712212688,0.3434777246655756,,,,,,,,
0,39,81.28686742182876,26.979721452095347,0.5984126984126983,0.6267242252155256,0.3345562253235954,,,,,,,,
0,40,81.89687900103856,27.305356178077005,0.5714285714285714,0.6100115792097967,0.3256347259816579,,,,,,,,
0,41,82.49017793424258,27.62206940471667,0.5412698412698416,0.593298933204025,0.3167132266396635,,,,,,,,
0,42,83.06676422144088,27.929861132014395,0.5079365079365079,0.5765862871982961,0.30779172729772597,,,,,,,,
0,43,83.62663786263342,28.228731359970126,0.4714285714285713,0.5598736411925387,0.2988702279557316,,,,,,,,
0,44,84.16979885782021,28.51868008858392,0.43174603174603177,0.5431609951867955,0.28994872861379406,,,,,,,,
0,45,84.69624720700125,28.79970731785575,0.3888888888888888,0.5264483491810381,0.2810272292718281,,,,,,,,
0,46,85.20598291017656,29.071813047785625,0.34285714285714297,0.5097357031753091,0.27210572992987636,,,,,,,,
0,47,85.69900596734611,29.33499727837352,0.2936507936507935,0.49302305716955175,0.2631842305878962,,,,,,,,
0,48,86.1753163785099,29.58926000961945,0.2412698412698413,0.47631041116379436,0.25426273124593024,,,,,,,,
0,49,86.63491414366796,29.83460124152346,0.18571428571428594,0.4595977651580512,0.24534123190400692,,,,,,,,
0,50,87.07779926282026,30.071020974085457,0.12698412698412698,0.442885119152308,0.23641973256199833,,,,,,,,
