,dist,dx,dy,goal,player,team,x,y
2374,16.3860307579,16.17,-2.652,True,Younes Belhanda,Montpellier,88.83,34.0
2377,28.4241376298,-15.54,23.8,False,Paulo Machado,Olympiacos,15.54,15.028
2378,31.496676412,-31.185,-4.42,False,Djamel Abdoun,Olympiacos,31.185,41.752
2380,16.4961388209,-16.17,-3.264,True,Leandro Greco,Olympiacos,16.17,34.0
2383,12.931637522,-12.495,3.332,True,Kostas Mitroglou,Olympiacos,12.495,30.464
2386,25.2976963576,25.095,3.196,False,Jamel Saihi,Montpellier,79.905,35.02
2387,11.7759137225,-11.76,0.612,False,Nicolas Lombaerts,Zenit,11.76,31.892
2390,13.5095971813,-13.02,-3.604,False,Sergei Semak,Zenit,13.02,41.752
2394,9.85461358958,9.345,3.128,False,Guillaume Gillet,Anderlecht,95.655,30.192
2400,13.5103356361,9.975,-9.112,True,Dieudonné Mbokani,Anderlecht,95.025,41.004
2405,26.6841571724,23.31,12.988,False,Milan Jovanović,Anderlecht,81.69,17.612
2409,14.3952825954,14.385,-0.544,False,Axel Witsel,Zenit,90.615,33.728
2417,28.3782029206,-27.825,-5.576,False,Kanu,Anderlecht,27.825,35.156
2423,26.9479070801,-26.04,-6.936,False,Milan Jovanović,Anderlecht,26.04,36.516
2424,37.3279426168,-20.37,31.28,False,Eliseu,Málaga,20.37,6.46
2426,17.764654908,-12.81,-12.308,False,Eliseu,Málaga,12.81,45.56
2427,22.2510251674,19.845,-10.064,False,Bojan Krkić,Milan,85.155,47.192
2431,21.6347082486,21.525,-2.176,False,Riccardo Montolivo,Milan,83.475,35.7
2432,22.8422808844,20.37,-10.336,False,Urby Emanuelson,Milan,84.63,41.072
2442,9.78528328665,-8.925,4.012,True,Eliseu,Málaga,8.925,27.948
2452,26.3310683604,19.635,17.544,False,Urby Emanuelson,Milan,85.365,15.028
2455,22.5143509789,-19.32,11.56,False,Urby Emanuelson,Milan,19.32,21.964
2462,9.47278734059,-8.19,-4.76,False,Stephan El Shaarawy,Milan,8.19,44.472
2467,22.7624185007,-19.32,-12.036,False,Kévin Constant,Milan,19.32,41.616
2473,19.673113658,-19.635,-1.224,False,Urby Emanuelson,Milan,19.635,30.532
2476,32.5764915391,-32.445,2.924,False,Kevin-Prince Boateng,Milan,32.445,36.244
2477,34.0981228809,-29.4,17.272,False,Urby Emanuelson,Milan,29.4,19.584
2479,17.0064348116,15.435,7.14,False,Roque Santa Cruz,Málaga,89.565,23.8
2482,4.63423877244,-1.155,4.488,True,Pato,Milan,1.155,28.152
2489,15.9243497826,-8.61,-13.396,False,Kevin-Prince Boateng,Milan,8.61,46.58
2497,27.3896278909,-24.57,12.104,False,Christian Eriksen,Ajax,24.57,25.16
2500,21.7092290282,18.585,11.22,False,Sergio Agüero,Man. City,86.415,25.84
2506,10.2290293283,7.455,-7.004,False,Pablo Zabaleta,Man. City,97.545,44.608
2508,8.95173731741,-7.665,4.624,False,Niklas Moisander,Ajax,7.665,33.32
2509,4.08540083713,-0.21,4.08,True,Siem de Jong,Ajax,0.21,30.6
2511,12.5756641574,8.295,9.452,False,Matija Nastasić,Man. City,96.705,22.508
2513,9.53365092711,-3.57,-8.84,True,Siem de Jong,Ajax,3.57,40.324
2515,7.77178589515,5.04,5.916,True,Yaya Touré,Man. City,99.96,25.364
2521,6.36784924445,2.52,-5.848,False,Pablo Zabaleta,Man. City,102.48,40.528
2525,28.6650806557,-28.665,0.068,False,Siem de Jong,Ajax,28.665,29.376
2531,22.6191502051,-17.43,14.416,False,Derk Boerrigter,Ajax,17.43,17.34
2534,12.425742674,9.765,7.684,False,Yaya Touré,Man. City,95.235,24.276
2536,13.2634041256,-12.705,3.808,False,Matija Nastasić,Man. City,12.705,28.968
2537,27.9711880513,-27.825,2.856,False,Yaya Touré,Man. City,27.825,33.864
2541,25.3109581209,24.885,4.624,False,Siem de Jong,Ajax,80.115,26.86
2546,25.3109581209,24.885,4.624,False,Siem de Jong,Ajax,80.115,26.86
2553,22.0792338862,16.485,14.688,False,Christian Eriksen,Ajax,88.515,23.732
2556,24.7647411454,-22.89,9.452,False,Gareth Barry,Man. City,22.89,30.328
2557,25.1451489556,24.15,-7.004,False,Siem de Jong,Ajax,80.85,43.384
2562,15.3300416177,-14.28,5.576,True,Sergio Agüero,Man. City,14.28,25.976
2564,7.29275284101,-6.09,-4.012,False,Mario Balotelli,Man. City,6.09,40.528
2568,27.9334874479,-26.565,-8.636,False,Edin Džeko,Man. City,26.565,38.012
2570,13.7152862165,8.61,-10.676,False,Siem de Jong,Ajax,96.39,46.92
2572,12.9545547588,-12.075,-4.692,False,Vincent Kompany,Man. City,12.075,41.072
2577,19.9068801172,19.11,5.576,False,Christian Eriksen,Ajax,85.89,25.84
2579,24.5713413553,22.26,10.404,False,Viktor Fischer,Ajax,82.74,28.492
2582,24.6947857047,21.525,-12.104,False,Luka Modrić,Real Madrid,83.475,50.252
2586,18.4591103794,-4.83,-17.816,False,Marcel Schmelzer,Dortmund,4.83,48.552
2588,14.5474865183,-14.49,-1.292,False,Robert Lewandowski,Dortmund,14.49,34.204
2592,20.796,-13.86,-15.504,False,Kevin Grosskreutz,Dortmund,13.86,47.464
2601,9.24625329525,9.24,-0.34,False,Cristiano Ronaldo,Real Madrid,95.76,29.988
2603,23.288534604,20.37,-11.288,False,Ángel Di María,Real Madrid,84.63,49.368
2625,24.0872540776,-10.185,21.828,True,Marco Reus,Dortmund,10.185,13.464
2628,10.6299212133,7.875,-7.14,True,Pepe,Real Madrid,97.125,43.792
2630,11.2752618151,11.235,-0.952,False,Sergio Ramos,Real Madrid,93.765,30.736
2634,24.0335091279,-23.205,6.256,False,İlkay Gündoğan ,Dortmund,23.205,28.22
2641,12.5191060384,-11.34,-5.304,False,Kevin Grosskreutz,Dortmund,11.34,34.884
2647,10.6804838842,-9.66,4.556,False,Álvaro Arbeloa,Real Madrid,9.66,28.696
2655,19.6112867757,-17.955,7.888,False,José Callejón,Real Madrid,17.955,29.988
2657,25.2486254873,-23.625,8.908,False,Cristiano Ronaldo,Real Madrid,23.625,29.104
2666,18.0864247711,-13.125,12.444,False,José Callejón,Real Madrid,13.125,24.276
2672,29.370515845,-28.455,7.276,False,Sergio Ramos,Real Madrid,28.455,20.672
2687,28.2015548508,-24.78,-13.464,False,Ángel Di María,Real Madrid,24.78,44.336
2692,4.98267759342,-4.83,-1.224,False,Cristiano Ronaldo,Real Madrid,4.83,36.72
2701,17.806289928,-3.045,-17.544,False,Ángel Di María,Real Madrid,3.045,47.192
2702,36.2958394448,-26.355,24.956,True,Mesut Özil,Real Madrid,26.355,12.444
2707,13.7791828858,13.755,-0.816,False,Edgar Olekhnovich,BATE,91.245,38.012
2711,18.3946014091,9.345,-15.844,False,Vitali Rodionov,BATE,95.655,47.192
2713,23.674624073,-20.265,-12.24,False,Gianni Bruno,LOSC,20.265,44.064
2716,7.78221208912,-5.565,-5.44,True,Gianni Bruno,LOSC,5.565,36.924
2720,33.525718128,28.14,-18.224,False,Aleksandr Volodko,BATE,76.86,51.952
2725,11.5351029904,-7.245,-8.976,False,Gianni Bruno,LOSC,7.245,38.284
2729,11.6864879669,11.025,3.876,False,Renan Bressan,BATE,93.975,34.0
2732,17.8970603452,-16.065,7.888,False,Ronny Rodelin,LOSC,16.065,25.296
2736,10.7117647472,-5.04,9.452,False,Vitali Rodionov,BATE,5.04,27.336
2739,26.6852850088,-9.45,-24.956,False,Renan Bressan,BATE,9.45,58.82
2741,15.0053655737,-11.13,10.064,False,Aleksandr Hleb,BATE,11.13,22.576
2745,11.8281718368,-8.295,8.432,False,Vitali Rodionov,BATE,8.295,28.016
2748,24.8077500794,-24.36,-4.692,False,Yegor Filipenko,BATE,24.36,45.152
2760,18.6326272973,-18.48,2.38,False,Kim Källström,Spartak Moskva,18.48,33.592
2778,9.64195462549,9.555,1.292,False,Pedro Rodríguez,Barcelona,95.445,32.028
2780,9.81280469591,7.56,6.256,False,Gerard Piqué,Barcelona,97.44,29.104
2783,13.7445270926,-13.125,-4.08,False,Dmitri Kombarov,Spartak Moskva,13.125,39.508
2785,20.5672234636,17.325,-11.084,True,Daniel Alves,Barcelona,87.675,41.888
2791,13.7835571969,-9.345,10.132,False,Marek Suchý,Spartak Moskva,9.345,25.5
2797,14.298443132,11.13,8.976,False,Andrés Iniesta,Barcelona,93.87,23.12
2800,14.298443132,11.13,8.976,False,Andrés Iniesta,Barcelona,93.87,23.12
2801,16.9399754722,16.905,1.088,True,Lionel Messi,Barcelona,88.095,35.428
2811,12.9130633081,-6.51,11.152,False,Emmanuel Emenike,Spartak Moskva,6.51,24.82
2821,10.1193008158,9.555,3.332,True,Lionel Messi,Barcelona,95.445,27.948
2822,11.981881697,11.025,4.692,False,Emmanuel Emenike,Spartak Moskva,93.975,28.968
2824,9.43627913958,-6.09,-7.208,False,Sergio Busquets,Barcelona,6.09,39.916
2829,8.55845552655,-7.245,4.556,False,Pedro Rodríguez,Barcelona,7.245,30.668
2832,11.0071447706,9.45,-5.644,False,Evgeni Makeev,Spartak Moskva,95.55,44.404
2833,28.9170247605,-10.185,27.064,False,Lionel Messi,Barcelona,10.185,8.024
2834,11.5434470155,-2.415,-11.288,False,Pedro Rodríguez,Barcelona,2.415,42.636
2835,19.112,-16.8,-9.112,False,Pedro Rodríguez,Barcelona,16.8,48.348
2837,27.9419175434,27.93,-0.816,False,José Manuel Jurado,Spartak Moskva,77.07,40.8
2843,27.1110384161,25.41,9.452,False,Kim Källström,Spartak Moskva,79.59,26.656
2848,18.0927428545,18.06,-1.088,False,Welliton,Spartak Moskva,86.94,33.32
2853,33.8561947655,-33.81,-1.768,False,Óscar Cardozo,Benfica,33.81,36.924
2855,33.8561947655,-33.81,-1.768,False,Óscar Cardozo,Benfica,33.81,36.924
2857,16.606364563,-12.18,-11.288,True,Ola John,Benfica,12.18,42.84
2859,20.978413286,-14.28,-15.368,False,Óscar Cardozo,Benfica,14.28,45.288
2861,2.584,0.0,-2.584,True,Giorgos Samaras,Celtic,105.0,33.728
2867,15.8729733825,15.75,-1.972,False,Giorgos Samaras,Celtic,89.25,31.824
2873,20.1388659313,-20.055,1.836,False,Eduardo Salvio,Benfica,20.055,33.252
2874,21.4850325808,-16.905,13.26,False,André Almeida,Benfica,16.905,22.576
2876,20.1074414086,-18.06,8.84,False,Nemanja Matić,Benfica,18.06,26.588
2878,19.6508492437,19.53,-2.176,False,Enzo Peréz,Benfica,85.47,36.516
2881,10.048137937,6.93,7.276,False,Luisão,Benfica,98.07,27.404
2886,33.5625167263,32.655,7.752,False,Nemanja Matić,Benfica,72.345,25.976
2890,6.04993231367,5.985,-0.884,True,Ezequiel Garay,Benfica,99.015,35.564
2898,20.3,20.16,-2.38,False,Nicolás Gaitán,Benfica,84.84,32.3
2899,17.0940518602,-16.695,3.672,False,Beram Kayal,Celtic,16.695,31.552
2901,16.0445512558,-12.915,9.52,False,Tony Watt,Celtic,12.915,20.128
2902,31.2127330428,30.66,5.848,False,Burak Yılmaz,Galatasaray,74.34,27.744
2907,25.9668812336,25.725,3.536,False,Nordin Amrabat,Galatasaray,79.275,25.976
2913,21.0414073911,17.115,12.24,False,Nordin Amrabat,Galatasaray,87.885,17.612
2915,7.60815246956,5.88,4.828,False,Burak Yılmaz,Galatasaray,99.12,25.704
2919,30.1387810138,28.875,8.636,False,Nordin Amrabat,Galatasaray,76.125,21.08
2926,17.4126534451,16.17,6.46,False,Hamit Altıntop,Galatasaray,88.83,24.616
2931,26.1726301506,23.835,10.812,False,Nick Powell,Man. United,81.165,28.424
2932,29.8101597614,-29.715,-2.38,False,Albert Riera,Galatasaray,29.715,33.252
2935,7.88812398483,-7.77,1.36,False,Felipe Melo,Galatasaray,7.77,32.232
2937,9.86572860969,-8.715,-4.624,True,Burak Yılmaz,Galatasaray,8.715,35.428
2938,25.2673588647,20.16,15.232,False,Anderson,Man. United,84.84,19.924
2945,17.3642672175,-12.18,12.376,False,Emmanuel Eboué,Galatasaray,12.18,19.108
2952,9.80534757161,4.515,-8.704,False,Anderson,Man. United,100.485,46.852
2961,24.0575762703,-22.68,8.024,False,Felipe Melo,Galatasaray,22.68,26.656
2964,20.3080634478,20.055,3.196,False,Javier Hernández,Man. United,84.945,33.66
2972,14.585505682,-12.18,-8.024,True,Rui Pedro,CFR Cluj,12.18,38.964
2978,11.4769954256,-11.34,-1.768,True,Rui Pedro,CFR Cluj,11.34,38.964
2981,8.7899508531,4.83,-7.344,True,Alan,Braga,100.17,44.472
2986,11.4165879754,8.505,-7.616,False,Éder,Braga,96.495,39.712
2993,13.6507390276,11.55,7.276,False,Éder,Braga,93.45,22.576
2998,30.5801407616,29.295,8.772,False,Hugo Viana,Braga,75.705,23.596
3012,28.3367866209,-24.15,14.824,False,Rafael Bastos,CFR Cluj,24.15,19.176
3020,24.3518659655,19.32,14.824,False,Éder,Braga,85.68,15.096
3025,14.4983640801,-10.815,9.656,True,Rui Pedro,CFR Cluj,10.815,27.404
3027,7.2374874784,7.035,-1.7,False,Éder,Braga,97.965,42.16
3031,25.3254781001,-18.585,17.204,False,Modou Sougou,CFR Cluj,18.585,20.536
3034,20.9458826503,18.48,9.86,False,Ismaily,Braga,86.52,19.652
3036,9.11003408336,7.455,5.236,False,Alan,Braga,97.545,24.548
3038,34.2829128867,34.23,-1.904,False,Luís Alberto,CFR Cluj,70.77,36.04
3044,29.6164333437,-28.35,8.568,False,Alan,Braga,28.35,29.512
3047,8.47764707923,3.99,7.48,False,Rafael Bastos,CFR Cluj,101.01,22.984
3050,7.61857309475,6.3,-4.284,False,Felice Piccolo,CFR Cluj,98.7,33.864
3054,29.7153112217,-29.715,0.136,False,Nuno André Coelho,Braga,29.715,36.244
3062,26.0467740037,24.99,7.344,False,Camora,CFR Cluj,80.01,22.372
3065,22.4503532489,-8.085,20.944,False,Alan,Braga,8.085,17.0
3068,12.6815552674,-10.29,-7.412,False,Alan,Braga,10.29,43.792
3070,24.1523932562,24.15,-0.34,False,Luís Alberto,CFR Cluj,80.85,29.716
3071,13.3007411824,11.55,6.596,False,Pantelis Kapetanos,CFR Cluj,93.45,31.484
3073,10.5140827465,-10.5,0.544,False,Dante,Bayern,10.5,37.604
3087,17.5513080994,-11.34,13.396,False,Thomas Müller,Bayern,11.34,16.184
3088,32.8437137973,-24.78,21.556,False,David Alaba,Bayern,24.78,16.524
3090,10.2735011072,-8.715,5.44,False,Dante,Bayern,8.715,31.62
3105,13.403403896,12.81,-3.944,False,Sofiane Feghouli,Valencia,92.19,37.74
3114,17.9326394042,-17.43,4.216,False,Claudio Pizarro,Bayern,17.43,30.464
3116,22.4424000722,17.955,-13.464,False,Roberto Soldado,Valencia,87.045,49.096
3122,22.0327483533,12.18,-18.36,False,Sofiane Feghouli,Valencia,92.82,47.872
3124,10.409224803,10.395,0.544,False,Dante,Bayern,94.605,37.604
3126,14.8562862452,-10.605,10.404,False,Roberto Soldado,Valencia,10.605,25.636
3128,8.40240447729,-7.455,-3.876,False,Ricardo Costa,Valencia,7.455,33.524
3132,16.3028587677,-7.35,14.552,False,Roberto Soldado,Valencia,7.35,23.528
3141,6.7429733056,6.405,2.108,False,Thomas Müller,Bayern,98.595,29.988
3146,12.5466897626,10.5,-6.868,False,Dante,Bayern,94.5,43.316
3155,21.1482263086,20.79,-3.876,False,Javi Martínez,Bayern,84.21,33.592
3158,11.55,11.55,0.0,False,Mario Mandžukić,Bayern,93.45,37.876
3159,21.1865641386,-20.79,4.08,True,Sofiane Feghouli,Valencia,20.79,28.764
3168,18.4854461942,16.485,8.364,True,Thomas Müller,Bayern,88.515,28.084
3170,23.8854416748,21.63,10.132,False,Bastian Schweinsteiger,Bayern,83.37,24.616
3175,34.5521894531,32.97,10.336,False,Bastian Schweinsteiger,Bayern,72.03,27.744
3196,14.2131848999,-6.615,12.58,False,Henrikh Mkhitaryan,Shakhtar Donetsk,6.615,27.336
3205,3.99231712167,3.99,-0.136,True,Morten Nordstrand,Nordsjælland,101.01,36.244
3207,14.3981198773,-10.92,9.384,True,Luiz Adriano,Shakhtar Donetsk,10.92,26.656
3219,10.1968340675,9.345,4.08,True,Kasper Lorentzen,Nordsjælland,95.655,29.24
3238,18.569836429,-13.965,-12.24,False,Henrikh Mkhitaryan,Shakhtar Donetsk,13.965,42.092
3247,12.7906378262,-7.98,9.996,False,Henrikh Mkhitaryan,Shakhtar Donetsk,7.98,19.788
3249,12.930607449,-9.975,8.228,True,Willian,Shakhtar Donetsk,9.975,28.424
3253,16.2698770739,15.75,-4.08,False,Henrikh Mkhitaryan,Shakhtar Donetsk,89.25,38.964
3255,12.694882788,11.655,-5.032,False,Fernandinho,Shakhtar Donetsk,93.345,42.908
3257,25.5259477591,18.795,17.272,True,Willian,Shakhtar Donetsk,86.205,19.856
3262,7.035,7.035,0.0,True,Luiz Adriano,Shakhtar Donetsk,97.965,36.924
3265,13.7761933784,-5.46,12.648,False,Kasper Lorentzen,Nordsjælland,5.46,25.296
3269,14.4684700297,-9.135,11.22,False,Anders Christiansen,Nordsjælland,9.135,26.86
3285,30.348985156,-22.47,20.4,False,Nicolai Stokholm,Nordsjælland,22.47,18.564
3290,5.87124143602,-4.41,3.876,False,Kasper Lorentzen,Nordsjælland,4.41,32.096
3298,5.05637379947,4.83,1.496,True,Luiz Adriano,Shakhtar Donetsk,100.17,30.804
3304,50.6302955255,28.035,-42.16,False,Douglas Costa,Shakhtar Donetsk,76.965,49.64
