frame,player,x,y
0,11,20.136054421768705,29.201680672268907
0,12,18.911564625850342,44.327731092436984
0,13,18.775510204081634,56.51260504201681
0,14,23.26530612244898,62.60504201680672
0,15,20.952380952380953,74.15966386554621
0,16,21.360544217687075,85.92436974789916
0,17,34.82993197278911,69.95798319327731
0,18,34.82993197278911,61.97478991596639
0,19,42.176870748299315,44.74789915966387
0,20,22.17687074829932,13.235294117647058
0,21,38.91156462585034,30.252100840336126
0,22,38.91156462585034,65.7563025210084
0,23,25.170068027210885,92.22689075630252
0,24,22.312925170068027,56.72268907563026
0,25,22.040816326530614,44.74789915966387
0,0,38.91156462585034,65.7563025210084
1,11,20.088688323234468,29.293945627371237
1,12,19.069266194631815,44.78273165411573
1,13,18.927919096350696,56.833710260484736
1,14,23.515477125801077,62.99139259379215
1,15,20.99066871115645,73.70312153288381
1,16,21.34211386126504,85.44353942722985
1,17,34.877252445711555,69.80567212776269
1,18,35.02788740284816,61.75204148939485
1,19,41.937882024716984,44.683117799283146
1,20,22.216451398193605,13.067938514857342
1,21,38.75053134447931,30.163218760999357
1,22,38.89932051558738,65.67468877685683
1,23,25.080840906700875,91.3164154748724
1,24,22.487489868374624,57.41097587514556
1,25,21.821536475563114,44.656107368692744
1,0,38.89932051558738,65.67468877685683
2,11,20.049866825846216,29.357486565923324
2,12,19.22158596255828,45.16748092253
2,13,19.076504879399558,57.10415174871499
2,14,23.73534237408646,63.32216050203528
2,15,21.04067976233716,73.29598948106518
2,16,21.328180045276206,85.01612024286129
2,17,34.920170877088424,69.65450963858042
2,18,35.21112536145065,61.540518519151476
2,19,41.712256108868864,44.6174425915776
2,20,22.247465564849396,12.919813485764369
2,21,38.58705213388821,30.091935909446978
2,22,38.87321708962439,65.583341781861
2,23,25.007109875115386,90.5177279816026
2,24,22.645516678314547,58.01384149990279
2,25,21.647624809399993,44.56720015158135
2,0,38.87321708962439,65.583341781861
3,11,20.019116159581763,29.394182150913952
3,12,19.36856373799386,45.48533641208279
3,13,19.22090174165911,57.32600289990174
3,14,23.92616059143186,63.600015723601885
3,15,21.101459352565403,72.93583076701096
3,16,21.318436031885398,84.63943454752406
3,17,34.95871010275916,69.50458072517804
